# UniProt_ID,P59533
# Target_name,T2R38_HUMAN Taste receptor type 2 member 38
# Molecules_screened,1687
# Generated_at,2025-08-21T21:35:03
#
Rank,Drug Name,Target Name,Binding Score
475,glycochenodeoxycholic acid,T2R38_HUMAN,3589.64
476,l-carnitine orotate,T2R38_HUMAN,3642.97
477,cetyl stearate,T2R38_HUMAN,3648.21
478,synephrine,T2R38_HUMAN,3650.85
479,methylparaben,T2R38_HUMAN,3681.66
480,eds,T2R38_HUMAN,3686.26
481,eucalyptol,T2R38_HUMAN,3691.38
482,l-theanine,T2R38_HUMAN,3709.28
483,bacoside a3,T2R38_HUMAN,3710.44
484,sorbitan oleate,T2R38_HUMAN,3719.43
485,creatinol-o-phosphate,T2R38_HUMAN,3722.74
486,bismuth gluconate,T2R38_HUMAN,3727.04
487,fisetin,T2R38_HUMAN,3739.94
488,quatrefolic,T2R38_HUMAN,3740.04
489,iron picolinate,T2R38_HUMAN,3760.75
490,dipotassium phosphate,T2R38_HUMAN,3775.56
491,tudca sodium,T2R38_HUMAN,3777.10
492,pyrroloquinoline quinone disodium salt,T2R38_HUMAN,3796.62
493,l-citrulline monohydrate,T2R38_HUMAN,3840.06
494,zinc-l-carnosine,T2R38_HUMAN,3905.45
495,5-methoxytryptamine,T2R38_HUMAN,3913.38
496,edta disodium,T2R38_HUMAN,3926.96
497,dihydromyricetin,T2R38_HUMAN,3950.67
498,potassium lactate,T2R38_HUMAN,3973.31
499,magnesium phosphate,T2R38_HUMAN,4027.34
500,arginine ketoisocaproate,T2R38_HUMAN,4049.49
501,l-leucine ethyl ester hydrochloride,T2R38_HUMAN,4055.37
502,synephrine hcl,T2R38_HUMAN,4064.52
503,mono ethyl fumarate,T2R38_HUMAN,4082.98
504,2'-deoxyguanosine,T2R38_HUMAN,4101.90
505,5-methoxytryptamine hcl,T2R38_HUMAN,4129.88
506,l-arginine hydrochloride,T2R38_HUMAN,4139.99
507,adenine,T2R38_HUMAN,4185.18
508,verbascoside,T2R38_HUMAN,4192.30
509,l-citrulline,T2R38_HUMAN,4218.15
510,vanilla,T2R38_HUMAN,4224.52
511,valerenic acid,T2R38_HUMAN,4252.66
512,biopterin,T2R38_HUMAN,4260.75
513,4-hydroxyandrostenedione,T2R38_HUMAN,4272.69
514,citrulline hydrochloride,T2R38_HUMAN,4279.82
515,copper gluconate,T2R38_HUMAN,4307.21
516,turmerone,T2R38_HUMAN,4326.18
517,fenchol,T2R38_HUMAN,4356.24
518,n-acetyl-l-cystine,T2R38_HUMAN,4397.05
